7210,Jawaharal Institute of Technology,7210,principal,Y
7211,Kalaivani College of Technology,7211,principal,Y
7212,Karpagam Institute of Technology,7212,principal,Y
7213,N R School of Architecture,7213,principal,Y
7214,Nehru Institute of Engineering and Technology,7214,principal,Y
7215,Nehru Institute of Information Technology and Management,7215,principal,Y
7216,Nehru Institute of Management Studies,7216,principal,Y
7217,P A College of Engineering and Technology,7217,principal,Y
7218,Rathinam Technical Campus,7218,principal,Y
7219,S S K College of Engineering and Technology,7219,principal,Y
7220,SVS College of Engineering,7220,principal,Y
7221,SVS School of Architecture,7221,principal,Y
7222,Sakthi Institute of Information and Management Studies,7222,principal,Y
7223,San International Business School,7223,principal,Y
7224,San International Info School,7224,principal,Y
7225,Sasi Creative School Of Business,7225,principal,Y
7226,SNT Global Academy Of Management Studies and Technology,7226,principal,Y
7227,Sree Narayanaguru Institute of Management Studies,7227,principal,Y
7228,Sri Eshwar College of Engineering,7228,principal,Y
7229,Sri Venkateswara College of Computer Applications and Management,7229,principal,Y
7230,Sri Venkateswara Institute of Information Technology and Management,7230,principal,Y
7231,SVS Institute of Computer Applications,7231,principal,Y
7232,SVS Institute of Management Studies,7232,principal,Y
7233,Akshaya Institute of Management Studies,7233,principal,Y
7301,Aishwarya College of Engineering and Technology,7301,principal,Y
7302,Al-Ameen Engineering College,7302,principal,Y
7303,Erode Builder Educational Trust's Group of Institutions,7303,principal,Y
7304,Erode Sengunthar Engineering College,7304,principal,Y
7305,Excel Business School,7305,principal,Y
7306,Excel College of Architecture and Planning,7306,principal,Y
7307,Excel College of Engineering and Technology,7307,principal,Y
7308,Excel College of Engineering for Women,7308,principal,Y
7309,Excel Engineering College,7309,principal,Y
7310,GEM Business Academy,7310,principal,Y
7311,Institute of Road and Transport Technology,7311,principal,Y
7312,JKK Munirajah College of Technology,7312,principal,Y
7313,J.K.K.Nataraja College of Engineering and Technology,7313,principal,Y
7314,JKK Munirajah School of Architecture,7314,principal,Y
7315,K.S.R.College of Engineering,7315,principal,Y
7316,KSR Institute for Engineering and Technology,7316,principal,Y
7317,M.P.Nachimuthu M.Jaganathan Engineering. College,7317,principal,Y
7318,Maharaja Engineering College,7318,principal,Y
7319,Maharaja Engineering College for Women,7319,principal,Y
7320,Maharaja Prithvi Engineering College,7320,principal,Y
7321,Nandha College of Technology,7321,principal,Y
7322,Nandha Engineering College,7322,principal,Y
7323,SSM College of Engineering,7323,principal,Y
7324,Sasurie College of Engineering,7324,principal,Y
7325,Shree Venkateshwara Hi-Tech Engineering College,7325,principal,Y
7326,Sri Ramanathan Engineering College,7326,principal,Y
7327,Sri Shanmugha College of EngineeringandTechnology,7327,principal,Y
7328,Surya Engineering College,7328,principal,Y
7329,Velalar College of Engineering and Technology,7329,principal,Y
7330,Vidhya Mandhir Institute of Technology,7330,principal,Y
7331,Vidyaa Vikas College of Engineering. and Technology,7331,principal,Y
7332,Vivekananda Engineering College for Women,7332,principal,Y
8100,"University  Department of Anna University of Technology, Thiruchirapalli",8100,principal,Y
8101,C.A.R.E School of Architecture,8101,principal,Y
8102,Cauvery College of Engineering and Technology,8102,principal,Y
8103,Designed Environment Academy and Research Institute,8103,principal,Y
8104,Dhanalakshmi Srinivasan Engineering College,8104,principal,Y
8105,Dhanalakshmi Srinivasan Institute of Management,8105,principal,Y
8106,Dr.Navalar Nedunchezhiyan College of Engineering,8106,principal,Y
8107,G.Narayanan Educational Trust's Group Of Institutions,8107,principal,Y
8108,Hallmark Business School,8108,principal,Y
8109,Holy Angels School Of Business,8109,principal,Y
8110,Imayam College of Engineering,8110,principal,Y
8111,Imayam College Of Information Technology,8111,principal,Y
8112,Indra Ganesan College of Engineering,8112,principal,Y
8113,J J.College of Engineering and Technology,8113,principal,Y
8114,Jayaram College of Engineering and Technology,8114,principal,Y
8115,K.Ramakrishnan College of Engineering,8115,principal,Y
8116,K.K.C.College of Engineering and Technology,8116,principal,Y
8117,K.Ramakrishnan College of Technology,8117,principal,Y
8118,Kurinji College of Engineering and Technology,8118,principal,Y
8119,M.A.M.School of Architecture,8119,principal,Y
8120,M.A.M.College of Engineering and Technology,8120,principal,Y
8121,M.A.M.School of Engineering,8121,principal,Y
8122,MAM B School,8122,principal,Y
8123,M.A.R.College of Engineering and Technology,8123,principal,Y
8124,M.I.E.T. Engineering College,8124,principal,Y
8125,Mahalakshmi Engineering College,8125,principal,Y
8126,MAM College of Engineering,8126,principal,Y
8127,Meenakshi Ramasamy Engineering College,8127,principal,Y
8128,Mookambigai College of Engineering,8128,principal,Y
8129,OAS Institute of Technology and Management Group of Institutions,8129,principal,Y
8130,Oxford Engineering College,8130,principal,Y
8131,Pavendar Bharathidasan College of Engineering and  Technology ,8131,principal,Y
8132,Pavendar Bharathidasan Institute of  Information Technology,8132,principal,Y
8133,RVS KVK Institute Of Management Studies,8133,principal,Y
8134,Roever College of Engineering and Technology,8134,principal,Y
8135,Roever Engineering College,8135,principal,Y
8136,Roever Institute Of Management,8136,principal,Y
8137,RVS KVK Institute Of Management Studies,8137,principal,Y
8138,Saranathan College of Engineering,8138,principal,Y
8139,Shivani Engineering College,8139,principal,Y
8140,Shivani Institute of Technology,8140,principal,Y
8141,Shivani School of Business Management,8141,principal,Y
